clip_id,timestamp,comments
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:43,잉혐 너무 재밋고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:43,나우구뒤
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:44,쌍베 오빠
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:44,조륜안 on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:44,그렇게 후들겨 패놓고 ㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:45,도키타카
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:45,지금 메일함 터지는 소리 들려요
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:46,오빠~
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:46,숨쉬듯이 잉혐 ㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:47,잉사일ㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:47,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:48,잉혐맛집
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:48,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:48,잉사일 ㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:50,잉혐On
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:50,잉사일 ㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:50,역시 본점이야 ㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:50,ㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:51,이건 완전 사사구 인데요 허허허
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:51,하루 세번 잉혐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:51,잉사일이란다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:51,화력도발
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:51,ㄹㅇㄹ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:52,잉정은 ㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:52,잉사일ㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:52,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:53,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:53,잉스터콜
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:53,발사 도발 ㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:53,바로 버스터콜
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:53,상빈이 오빠
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:54,자때바라
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:54,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:54,잣 ㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:56,ㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:56,깜짞
